ubuntu@ubuntu:~$ sudo intel_reg dump
                    GEN8_MASTER_IRQ (0x00044200): 0x80000000
                     CUR_SURFLIVE_D (0x000730ac): 0x00000000
                         CUR_WM_0_D (0x00073140): 0x00000000
                         CUR_WM_1_D (0x00073144): 0x00000000
                         CUR_WM_2_D (0x00073148): 0x00000000
                         CUR_WM_3_D (0x0007314c): 0x00000000
                         CUR_WM_4_D (0x00073150): 0x00000000
                         CUR_WM_5_D (0x00073154): 0x00000000
                         CUR_WM_6_D (0x00073158): 0x00000000
                         CUR_WM_7_D (0x0007315c): 0x00000000
                     CUR_WM_TRANS_D (0x00073168): 0x00000000
                        PS_CTRL_1_D (0x00069980): 0x00000000
                        PS_CTRL_2_D (0x00069a80): 0x00000000
                    PS_ECC_STAT_1_D (0x000699d0): 0x00000000
                    PS_ECC_STAT_2_D (0x00069ad0): 0x00000000
                      PS_HPHASE_1_D (0x00069994): 0x00000000
                      PS_HPHASE_2_D (0x00069a94): 0x00000000
                      PS_HSCALE_1_D (0x00069990): 0x00000000
                      PS_HSCALE_2_D (0x00069a90): 0x00000000
                    PS_PWR_GATE_1_D (0x00069960): 0x00000000
                    PS_PWR_GATE_2_D (0x00069a60): 0x00000000
                      PS_VPHASE_1_D (0x00069988): 0x00000000
                      PS_VPHASE_2_D (0x00069a88): 0x00000000
                      PS_VSCALE_1_D (0x00069984): 0x00000000
                      PS_VSCALE_2_D (0x00069a84): 0x00000000
                     PS_WIN_POS_1_D (0x00069970): 0x00000000
                     PS_WIN_POS_2_D (0x00069a70): 0x00000000
                      PS_WIN_SZ_1_D (0x00069974): 0x00000000
                      PS_WIN_SZ_2_D (0x00069a74): 0x00000000
                       TRANS_CONF_D (0x00073008): 0x00000000
                    TRANS_CONF_DSI0 (0x0007b008): 0x00000024
                    TRANS_CONF_DSI1 (0x0007b808): 0x00000024
                     TRANS_HBLANK_D (0x00063004): 0x00000000
                      TRANS_HSYNC_D (0x00063008): 0x00000000
                     TRANS_HTOTAL_D (0x00063000): 0x00000000
                       TRANS_MULT_D (0x0006302c): 0x00000000
                      TRANS_SPACE_D (0x00063024): 0x00000000
                     TRANS_VBLANK_D (0x00063010): 0x00000000
                      TRANS_VSYNC_D (0x00063014): 0x00000000
                 TRANS_VSYNCSHIFT_D (0x00063028): 0x00000000
                     TRANS_VTOTAL_D (0x0006300c): 0x00000000
                   TRANS_HSYNC_DSI0 (0x0006b008): 0x00000000
                   TRANS_HSYNC_DSI1 (0x0006b808): 0x00000000
                  TRANS_HTOTAL_DSI0 (0x0006b000): 0x00000000
                  TRANS_HTOTAL_DSI1 (0x0006b800): 0x00000000
                   TRANS_SPACE_DSI0 (0x0006b024): 0x00000000
                   TRANS_SPACE_DSI1 (0x0006b824): 0x00000000
                  TRANS_VBLANK_DSI0 (0x0006b010): 0x00000000
                  TRANS_VBLANK_DSI1 (0x0006b810): 0x00000000
                   TRANS_VSYNC_DSI0 (0x0006b014): 0x00000000
                   TRANS_VSYNC_DSI1 (0x0006b814): 0x00000000
              TRANS_VSYNCSHIFT_DSI0 (0x0006b028): 0x00000000
              TRANS_VSYNCSHIFT_DSI1 (0x0006b828): 0x00000000
                  TRANS_VTOTAL_DSI0 (0x0006b00c): 0x00000000
                  TRANS_VTOTAL_DSI1 (0x0006b80c): 0x00000000
                     TRANS_DATAM1_D (0x00063030): 0x00000000
                     TRANS_DATAN1_D (0x00063034): 0x00000000
                     TRANS_LINKM1_D (0x00063040): 0x00000000
                     TRANS_LINKN1_D (0x00063044): 0x00000000
               TRANS_DDI_FUNC_CTL_D (0x00063400): 0x00000000
                   TRANS_MSA_MISC_D (0x00063410): 0x00000000
            TRANS_DDI_FUNC_CTL_DSI0 (0x0006b400): 0x00030000
            TRANS_DDI_FUNC_CTL_DSI1 (0x0006bc00): 0x00030000
                    MBUS_DBOX_CTL_D (0x0007303c): 0x00000000
                      WM_LINETIME_D (0x0004527c): 0x00000000
ubuntu@ubuntu:~$ 
